No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
84,Fred Arbanas,30,TE,14,14,240,6-3,Michigan St.,1/14/1939,7,3,St. Louis Cardinals / 2nd / 22nd pick / 1961 Dallas Texans / 7th / 53rd pick / 1961,ArbaFr00
78,Bobby Bell,29,LLB,14,14,228,6-4,Minnesota,6/17/1940,6,17,Minnesota Vikings / 2nd / 16th pick / 1963 Kansas City Chiefs / 7th / 56th pick / 1963,BellBo00
24,Ceasar Belser,25,DB,14,0,205,6-0,Ark-Pine Bluff,9/13/1944,1,3,Washington Redskins / 10th / 145th pick / 1966,BelsCe20
87,Aaron Brown,26,RDE,14,14,255,6-5,Minnesota,11/16/1943,3,11,Kansas City Chiefs / 1st / 6th pick / 1966,BrowAa20
86,Buck Buchanan,30,RDT,14,14,270,6-7,Grambling St.,9/10/1939,6,16,Kansas City Chiefs / 1st / 1st pick / 1963 New York Giants / 19th / 265th pick / 1963,BuchBu00
71,Ed Budde,29,LG,14,14,265,6-5,Michigan St.,11/2/1940,6,12,Philadelphia Eagles / 1st / 4th pick / 1963 Kansas City Chiefs / 1st / 8th pick / 1963,BuddEd00
61,Curley Culp,23,LDT,14,14,265,6-2,Arizona St.,3/10/1946,1,11,Denver Broncos / 2nd / 31st pick / 1968,CulpCu00
60,George Daney,23,G,14,3,240,6-4,Texas-El Paso,9/2/1946,1,2,Kansas City Chiefs / 1st / 22nd pick / 1968,DaneGe20
16,Len Dawson,34,QB,9,7,190,6-0,Purdue,6/20/1935,12,5,Pittsburgh Steelers / 1st / 5th pick / 1957,DawsLe00
12,Tom Flores,32,QB,5,0,202,6-1,Pacific,3/21/1937,9,0,,FlorTo00
21,Mike Garrett,25,RB,14,14,191,5-9,USC,4/12/1944,3,11,Los Angeles Rams / 2nd / 18th pick / 1966 Kansas City Chiefs / 20th / 178th pick / 1966,GarrMi00
38,Wendell Hayes,29,RB,14,0,220,6-1,Humboldt St.,8/5/1940,6,2,,HayeWe00
73,Dave Hill,28,RT,14,14,260,6-5,Auburn,2/1/1941,6,6,New York Giants / 5th / 62nd pick / 1963 Kansas City Chiefs / 24th / 192nd pick / 1963,HillDa21
45,Robert Holmes,24,RB,14,14,221,5-9,Southern,10/5/1945,1,8,Kansas City Chiefs / 14th / 375th pick / 1968,HolmRo01
55,E.J. Holub,31,C,14,14,236,6-4,Texas Tech,1/5/1938,8,10,Dallas Texans / 1st / 6th pick / 1961 Dallas Cowboys / 2nd / 16th pick / 1961,HoluE.00
85,Chuck Hurston,27,LB,14,0,240,6-6,Auburn,11/9/1942,4,4,Buffalo Bills / 12th / 91st pick / 1965 Green Bay Packers / 15th / 206th pick / 1965,HursCh20
46,Jim Kearney,26,SS,14,14,206,6-2,Prairie View A&M,1/21/1943,4,8,Detroit Lions / 11th / 151st pick / 1965,KearJi20
63,Willie Lanier,24,MLB,14,14,245,6-1,Morgan St.,8/21/1945,2,12,Kansas City Chiefs / 2nd / 50th pick / 1967,LaniWi00
15,Jacky Lee,30,QB,3,1,189,6-1,Cincinnati,7/11/1939,9,0,Houston Oilers / 1960 St. Louis Cardinals / 6th / 61st pick / 1960,LeexJa00
10,Mike Livingston,24,QB,9,6,212,6-4,SMU,11/14/1945,1,6,Kansas City Chiefs / 2nd / 48th pick / 1968,LiviMi00
82,Ed Lothamer,27,DT,13,0,270,6-5,Michigan St.,5/20/1942,5,4,Kansas City Chiefs / 4th / 26th pick / 1964 Baltimore Colts / 5th / 64th pick / 1964,LothEd20
26,Paul Lowe,33,HB,7,0,205,6-0,Oregon St.,9/27/1936,9,0,,LowePa00
51,Jim Lynch,24,RLB,14,14,235,6-1,Notre Dame,8/28/1945,2,14,Kansas City Chiefs / 2nd / 47th pick / 1967,LyncJi00
40,Jim Marsalis,24,LCB,14,14,194,5-11,Tennessee St.,10/10/1945,Rook,9,Kansas City Chiefs / 1st / 23rd pick / 1969,MarsJi01
75,Jerry Mays,30,LDE,14,14,252,6-4,SMU,11/24/1939,8,14,Dallas Texans / 5th / 38th pick / 1961 Minnesota Vikings / 11th / 141st pick / 1961,MaysJe00
81,Mickey McCarty,23,TE,3,0,255,6-5,TCU,11/15/1946,Rook,0,Kansas City Chiefs / 4th / 90th pick / 1968,McCaMi21
32,Curtis McClinton,30,TE,14,0,227,6-3,Kansas,6/25/1939,7,0,Dallas Texans / 14th / 110th pick / 1961 Los Angeles Rams / 10th / 110th pick / 1960,McClCu00
6,Warren McVea,23,RB,11,0,182,5-9,Houston,7/30/1946,1,5,Cincinnati Bengals / 4th / 109th pick / 1968,McVeWa00
22,Willie Mitchell,29,DB,14,0,185,6-0,Tennessee St.,8/28/1940,5,4,,MitcWi20
76,Mo Moorman,24,RG,11,11,252,6-5,KentuckyTexas A&M,7/24/1945,1,8,Kansas City Chiefs / 1st / 19th pick / 1968,MoorMo20
25,Frank Pitts,26,WR,14,14,199,6-3,Southern,11/12/1943,4,6,Kansas City Chiefs / 4th / 32nd pick / 1965 Chicago Bears / 16th / 213th pick / 1965,PittFr00
14,Ed Podolak,22,RB,4,0,204,6-1,Iowa,9/1/1947,Rook,0,Kansas City Chiefs / 2nd / 48th pick / 1969,PodoEd00
65,Remi Prudhomme,27,C,14,0,250,6-4,LSU,4/24/1942,3,3,St. Louis Cardinals / 3rd / 37th pick / 1964 Buffalo Bills / 14th / 108th pick / 1964,PrudRe20
30,Gloster Richardson,27,WR,13,7,200,6-2,Jackson St.,7/18/1942,2,4,Kansas City Chiefs / 7th / 50th pick / 1965,RichGl00
42,Johnny Robinson,31,FS,14,14,205,6-1,LSU,9/9/1938,9,14,Dallas Texans / 1960 Detroit Lions / 1st / 3rd pick / 1960,RobiJo00
