No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
31,Benny Barnes,26,LCB,14,14,190,6-1,Stanford,3/3/1951,5,6,,BarnBe20
53,Bob Breunig,24,MLB,14,14,226,6-2,Arizona St.,7/4/1953,2,7,Dallas Cowboys / 3rd / 70th pick / 1975,BreuBo00
36,Larry Brinson,23,RB,14,0,214,6-2,Florida,6/6/1954,Rook,0,,BrinLa00
59,Guy Brown,22,LB,14,0,223,6-4,Houston,6/1/1955,Rook,3,Dallas Cowboys / 4th / 108th pick / 1977,BrowGu20
63,Larry Cole,31,DT,12,0,252,6-5,Air ForceHoustonHawaii,11/15/1946,9,4,Dallas Cowboys / 16th / 428th pick / 1968,ColeLa20
61,Jim Cooper,22,T,14,0,262,6-5,Temple,9/28/1955,Rook,5,Dallas Cowboys / 6th / 164th pick / 1977,CoopJi21
21,Doug Dennison,26,RB,8,0,202,6-1,Kutztown (PA),12/18/1951,3,1,,DennDo00
67,Pat Donovan,24,RT,14,14,253,6-5,Stanford,7/1/1953,2,9,Dallas Cowboys / 4th / 90th pick / 1975,DonoPa00
33,Tony Dorsett,23,RB,14,4,192,5-11,Pittsburgh,4/7/1954,Rook,16,Dallas Cowboys / 1st / 2nd pick / 1977,DorsTo00
89,Billy Joe DuPree,27,TE,14,14,225,6-4,Michigan St.,3/7/1950,4,6,Dallas Cowboys / 1st / 20th pick / 1973,DuprBi00
62,John Fitzgerald,29,C,12,12,255,6-5,Boston Col.,4/16/1948,6,8,Dallas Cowboys / 4th / 101st pick / 1970,FitzJo21
71,Andy Frederick,23,T,13,0,257,6-6,New Mexico,7/25/1954,Rook,4,Dallas Cowboys / 5th / 137th pick / 1977,FredAn20
77,Bill Gregory,28,DT,13,2,255,6-5,Wisconsin,12/14/1949,6,2,Dallas Cowboys / 3rd / 77th pick / 1971,GregBi20
43,Cliff Harris,29,FS,14,14,188,6-0,Ouachita Baptist,11/12/1948,7,13,,HarrCl00
58,Mike Hegman,24,LB,14,2,227,6-1,Alabama A&MTennessee St.,1/17/1953,1,2,Dallas Cowboys / 7th / 173rd pick / 1975,HegmMi20
56,Thomas Henderson,24,LLB,14,14,221,6-2,Langston,3/1/1953,2,8,Dallas Cowboys / 1st / 18th pick / 1975,HendTh00
1,Efren Herrera,26,K,14,0,185,5-9,UCLA,7/30/1951,3,4,Detroit Lions / 7th / 169th pick / 1974,herreefr01
80,Tony Hill,21,WR,14,0,199,6-2,Stanford,6/23/1956,Rook,0,Dallas Cowboys / 3rd / 62nd pick / 1977,HillTo00
42,Randy Hughes,24,DB,13,0,209,6-4,Oklahoma,4/3/1953,2,4,Dallas Cowboys / 4th / 96th pick / 1975,HughRa20
57,Bruce Huther,23,LB,14,0,221,6-1,New Hampshire,7/23/1954,Rook,3,,HuthBr20
86,Butch Johnson,23,WR,14,0,187,6-1,UC Riverside,5/28/1954,1,2,Dallas Cowboys / 3rd / 87th pick / 1976,JohnBu00
72,Too Tall Jones,26,LDE,14,14,271,6-9,Tennessee St.,2/23/1951,3,7,Dallas Cowboys / 1st / 1st pick / 1974,JoneEd00
25,Aaron Kyle,23,RCB,14,10,185,5-11,Wyoming,4/6/1954,1,5,Dallas Cowboys / 1st / 27th pick / 1976,KyleAa20
35,Scott Laidlaw,24,RB,14,0,206,6-0,Stanford,2/17/1953,2,1,Dallas Cowboys / 14th / 356th pick / 1975,LaidSc00
