No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
2,Raul Allegre,27,K,13,0,165,5-9,MontanaTexas,6/15/1959,3,4,,allegrau01
24,Ottis Anderson,29,RB,8,0,220,6-2,Miami (FL),1/19/1957,7,1,St. Louis Cardinals / 1st / 8th pick / 1979,AndeOt00
67,Billy Ard,27,LG,16,16,265,6-3,Wake Forest,3/12/1959,5,8,New York Giants / 8th / 221st pick / 1981,ArdxBi20
58,Carl Banks,24,LOLB,16,16,235,6-4,Michigan St.,8/29/1962,2,8,New York Giants / 1st / 3rd pick / 1984,BankCa00
89,Mark Bavaro,23,TE,16,15,245,6-4,Notre Dame,4/28/1963,1,11,New York Giants / 4th / 100th pick / 1985,BavaMa00
60,Brad Benson,31,LT,16,16,262,6-3,Penn St.,11/25/1955,8,12,New England Patriots / 8th / 219th pick / 1977,BensBr00
64,Jim Burt,27,NT,13,13,260,6-1,Miami (FL),6/7/1959,5,10,,BurtJi00
53,Harry Carson,33,RILB,16,16,237,6-2,South Carolina St.,11/26/1953,10,14,New York Giants / 4th / 105th pick / 1976,CarsHa00
44,Maurice Carthon,25,FB,16,16,225,6-1,Arkansas St.,4/24/1961,1,3,,CartMa00
25,Mark Collins,22,LCB,15,9,196,5-10,Cal State-Fullerton,1/16/1964,Rook,5,New York Giants / 2nd / 44th pick / 1986,CollMa20
3,Joe Cooper,26,K,2,0,175,5-10,California,10/30/1960,2,0,,coopejoe01
77,Eric Dorsey,22,DE,16,0,280,6-5,Notre Dame,8/5/1964,Rook,1,New York Giants / 1st / 19th pick / 1986,DorsEr20
28,Tom Flynn,24,DB,2,0,195,6-0,Pittsburgh,3/24/1962,2,0,Green Bay Packers / 5th / 126th pick / 1984,FlynTo20
30,Tony Galbreath,32,RB,16,0,228,6-0,Missouri,1/29/1954,10,3,New Orleans Saints / 2nd / 32nd pick / 1976,GalbTo00
61,Chris Godfrey,28,RG,16,16,263,6-3,Michigan,5/17/1958,6,8,,GodfCh20
