stats_type,year,Player,FF,FR,FR TD,year_player,won_super_bowl
fumbles,2021,Darius Leonard,8,2,0,2021_Darius Leonard,0
fumbles,2021,Josh Norman,7,0,0,2021_Josh Norman,0
fumbles,2021,Joey Bosa,7,0,0,2021_Joey Bosa,0
fumbles,2021,Chandler Jones,6,1,0,2021_Chandler Jones,0
fumbles,2021,T.J. Watt,5,3,0,2021_T.J. Watt,0
fumbles,2021,Trevis Gipson,5,1,0,2021_Trevis Gipson,0
fumbles,2021,Isaiah Simmons,4,0,0,2021_Isaiah Simmons,0
fumbles,2021,Robert Quinn,4,0,0,2021_Robert Quinn,0
fumbles,2021,Mike Hughes,4,1,1,2021_Mike Hughes,0
fumbles,2021,Markus Golden,4,2,0,2021_Markus Golden,0
fumbles,2021,Aaron Donald,4,0,0,2021_Aaron Donald,1
fumbles,2021,Nick Bosa,4,0,0,2021_Nick Bosa,0
fumbles,2021,Kenny Young,3,2,0,2021_Kenny Young,1
fumbles,2021,Quincy Williams,3,0,0,2021_Quincy Williams,0
fumbles,2021,Montez Sweat,3,0,0,2021_Montez Sweat,0
fumbles,2021,Eric Rowe,3,0,0,2021_Eric Rowe,0
fumbles,2021,James Pierre,3,0,0,2021_James Pierre,0
fumbles,2021,Micah Parsons,3,0,0,2021_Micah Parsons,0
fumbles,2021,Odafe Oweh,3,2,0,2021_Odafe Oweh,0
fumbles,2021,Terrance Mitchell,3,0,0,2021_Terrance Mitchell,0
fumbles,2021,Derwin James,3,0,0,2021_Derwin James,0
fumbles,2021,Trey Hendrickson,3,0,0,2021_Trey Hendrickson,0
fumbles,2021,Randy Gregory,3,1,0,2021_Randy Gregory,0
fumbles,2021,Dante Fowler Jr.,3,0,0,2021_Dante Fowler Jr.,0
fumbles,2021,Ashtyn Davis,3,0,0,2021_Ashtyn Davis,0
fumbles,2021,Marcus Davenport,3,1,0,2021_Marcus Davenport,0
fumbles,2021,Ja'Whaun Bentley,3,0,0,2021_Ja'Whaun Bentley,0
fumbles,2021,Vonn Bell,3,1,0,2021_Vonn Bell,0
fumbles,2021,Shaquil Barrett,3,2,0,2021_Shaquil Barrett,0
fumbles,2021,Chase Young,2,0,0,2021_Chase Young,0
fumbles,2021,Xavier Woods,2,0,0,2021_Xavier Woods,0
fumbles,2021,Antoine Winfield Jr.,2,0,0,2021_Antoine Winfield Jr.,0
fumbles,2021,Marco Wilson,2,0,0,2021_Marco Wilson,0
fumbles,2021,Leonard Williams,2,1,0,2021_Leonard Williams,0
fumbles,2021,Kyzir White,2,0,0,2021_Kyzir White,0
fumbles,2021,Tershawn Wharton,2,0,0,2021_Tershawn Wharton,0
fumbles,2021,Armon Watts,2,0,0,2021_Armon Watts,0
fumbles,2021,Kyle Van Noy,2,1,0,2021_Kyle Van Noy,0
fumbles,2021,Solomon Thomas,2,0,0,2021_Solomon Thomas,0
fumbles,2021,Davion Taylor,2,0,0,2021_Davion Taylor,0
fumbles,2021,Preston Smith,2,1,0,2021_Preston Smith,0
fumbles,2021,Logan Ryan,2,1,0,2021_Logan Ryan,0
fumbles,2021,A'Shawn Robinson,2,0,0,2021_A'Shawn Robinson,1
fumbles,2021,Elandon Roberts,2,0,0,2021_Elandon Roberts,0
fumbles,2021,Jalen Reeves-Maybin,2,1,0,2021_Jalen Reeves-Maybin,0
fumbles,2021,Malik Reed,2,1,0,2021_Malik Reed,0
fumbles,2021,Jarran Reed,2,0,0,2021_Jarran Reed,0
fumbles,2021,Haason Reddick,2,1,0,2021_Haason Reddick,0
fumbles,2021,Germaine Pratt,2,2,0,2021_Germaine Pratt,0
fumbles,2021,Jason Pinnock,2,0,0,2021_Jason Pinnock,0
fumbles,2021,Jeremiah Owusu-Koramoah,2,0,0,2021_Jeremiah Owusu-Koramoah,0
fumbles,2021,Obo Okoronkwo,2,0,0,2021_Obo Okoronkwo,0
fumbles,2021,Uchenna Nwosu,2,1,0,2021_Uchenna Nwosu,0
fumbles,2021,Yannick Ngakoue,2,0,0,2021_Yannick Ngakoue,0
fumbles,2021,C.J. Mosley,2,0,0,2021_C.J. Mosley,0
fumbles,2021,Jake Martin,2,0,0,2021_Jake Martin,0
fumbles,2021,Avonte Maddox,2,0,0,2021_Avonte Maddox,0
fumbles,2021,DeMarcus Lawrence,2,0,0,2021_DeMarcus Lawrence,0
fumbles,2021,Damontae Kazee,2,0,0,2021_Damontae Kazee,0
fumbles,2021,Cameron Jordan,2,0,0,2021_Cameron Jordan,0
fumbles,2021,D.J. Jones,2,0,0,2021_D.J. Jones,0
fumbles,2021,Quinton Jefferson,2,0,0,2021_Quinton Jefferson,0
fumbles,2021,Jerry Hughes,2,0,0,2021_Jerry Hughes,0
