stats_type,year,Player,INT,INT TD,INT Yds,Lng,year_player,won_super_bowl
interceptions,2019,Janoris Jenkins,9,0,168,124,2019_Janoris Jenkins,0
interceptions,2019,Tre'Davious White,6,0,57,49,2019_Tre'Davious White,0
interceptions,2019,Anthony Harris,6,1,42,20,2019_Anthony Harris,0
interceptions,2019,Stephon Gilmore,6,2,126,64,2019_Stephon Gilmore,0
interceptions,2019,Marcus Peters,5,3,210,121,2019_Marcus Peters,0
interceptions,2019,Devin McCourty,5,0,49,24,2019_Devin McCourty,0
interceptions,2019,Darius Leonard,5,1,92,80,2019_Darius Leonard,0
interceptions,2019,Kevin King,5,0,54,39,2019_Kevin King,0
interceptions,2019,J.C. Jackson,5,0,39,19,2019_J.C. Jackson,0
interceptions,2019,Joe Haden,5,0,20,16,2019_Joe Haden,0
interceptions,2019,Minkah Fitzpatrick,5,1,130,96,2019_Minkah Fitzpatrick,0
interceptions,2019,Kevin Byard,5,0,79,28,2019_Kevin Byard,0
interceptions,2019,Marcus Williams,4,1,56,55,2019_Marcus Williams,0
interceptions,2019,Desmond Trufant,4,0,26,16,2019_Desmond Trufant,0
interceptions,2019,Justin Simmons,4,0,30,17,2019_Justin Simmons,0
interceptions,2019,Andrew Sendejo,4,0,51,51,2019_Andrew Sendejo,0
interceptions,2019,Joe Schobert,4,0,24,20,2019_Joe Schobert,0
interceptions,2019,Logan Ryan,4,0,16,16,2019_Logan Ryan,0
interceptions,2019,Darius Phillips,4,0,82,28,2019_Darius Phillips,0
interceptions,2019,Tyrann Mathieu,4,0,70,35,2019_Tyrann Mathieu,1
interceptions,2019,Quinton Dunbar,4,0,6,6,2019_Quinton Dunbar,0
interceptions,2019,K.J. Wright,3,0,10,11,2019_K.J. Wright,0
interceptions,2019,Juan Thornhill,3,1,46,46,2019_Juan Thornhill,1
interceptions,2019,Harrison Smith,3,0,13,13,2019_Harrison Smith,0
interceptions,2019,Richard Sherman,3,1,65,31,2019_Richard Sherman,0
interceptions,2019,Fabian Moreau,3,0,16,10,2019_Fabian Moreau,0
interceptions,2019,Damontae Kazee,3,0,53,22,2019_Damontae Kazee,0
interceptions,2019,Rayshawn Jenkins,3,0,10,8,2019_Rayshawn Jenkins,0
interceptions,2019,Donte Jackson,3,0,25,25,2019_Donte Jackson,0
interceptions,2019,Marlon Humphrey,3,0,14,14,2019_Marlon Humphrey,0
interceptions,2019,Jordan Hicks,3,0,64,48,2019_Jordan Hicks,0
interceptions,2019,Tre Herndon,3,0,0,0,2019_Tre Herndon,0
interceptions,2019,Erik Harris,3,2,145,59,2019_Erik Harris,0
interceptions,2019,Tashaun Gipson,3,1,105,79,2019_Tashaun Gipson,0
interceptions,2019,Kyle Fuller,3,0,37,29,2019_Kyle Fuller,0
interceptions,2019,Tre Flowers,3,0,0,0,2019_Tre Flowers,0
interceptions,2019,Quandre Diggs,3,1,99,55,2019_Quandre Diggs,0
interceptions,2019,Pierre Desir,3,0,0,0,2019_Pierre Desir,0
interceptions,2019,Jamie Collins,3,1,85,69,2019_Jamie Collins,0
interceptions,2019,Sean Murphy-Bunting,3,1,88,70,2019_Sean Murphy-Bunting,0
interceptions,2019,James Bradberry,3,0,0,0,2019_James Bradberry,0
interceptions,2019,Tre Boston,3,0,20,20,2019_Tre Boston,0
interceptions,2019,Jessie Bates,3,0,33,20,2019_Jessie Bates,0
interceptions,2019,Xavier Woods,2,0,38,29,2019_Xavier Woods,0
interceptions,2019,Jarrod Wilson,2,0,4,4,2019_Jarrod Wilson,0
interceptions,2019,Tramon Williams,2,0,0,0,2019_Tramon Williams,0
interceptions,2019,K'Waun Williams,2,0,53,49,2019_K'Waun Williams,0
interceptions,2019,Darious Williams,2,0,0,0,2019_Darious Williams,0
interceptions,2019,T.J. Watt,2,0,7,7,2019_T.J. Watt,0
interceptions,2019,Denzel Ward,2,1,61,61,2019_Denzel Ward,0
interceptions,2019,Charvarius Ward,2,0,10,10,2019_Charvarius Ward,1
interceptions,2019,Levi Wallace,2,0,2,2,2019_Levi Wallace,0
interceptions,2019,Tedric Thompson,2,0,18,18,2019_Tedric Thompson,0
interceptions,2019,Earl Thomas,2,0,38,24,2019_Earl Thomas,0
interceptions,2019,Daniel Sorensen,2,0,6,6,2019_Daniel Sorensen,1
interceptions,2019,Darius Slay,2,0,19,19,2019_Darius Slay,0
interceptions,2019,Darnell Savage,2,0,28,28,2019_Darnell Savage,0
interceptions,2019,Bradley Roby,2,1,49,27,2019_Bradley Roby,0
interceptions,2019,Justin Reid,2,0,55,37,2019_Justin Reid,0
interceptions,2019,Taylor Rapp,2,1,54,31,2019_Taylor Rapp,0
interceptions,2019,Jordan Poyer,2,0,0,0,2019_Jordan Poyer,0
interceptions,2019,Patrick Peterson,2,0,0,0,2019_Patrick Peterson,0
interceptions,2019,Steven Parker,2,0,35,35,2019_Steven Parker,0
interceptions,2019,Amani Oruwariye,2,0,0,0,2019_Amani Oruwariye,0
interceptions,2019,Montae Nicholson,2,0,23,23,2019_Montae Nicholson,0
interceptions,2019,Nik Needham,2,0,23,23,2019_Nik Needham,0
interceptions,2019,Kenny Moore II,2,0,36,35,2019_Kenny Moore II,0
interceptions,2019,Whitney Mercilus,2,0,88,86,2019_Whitney Mercilus,0
interceptions,2019,Rodney McLeod,2,0,30,23,2019_Rodney McLeod,0
interceptions,2019,Bradley McDougald,2,0,0,0,2019_Bradley McDougald,0
interceptions,2019,Bobby McCain,2,0,53,32,2019_Bobby McCain,0
interceptions,2019,Cory Littleton,2,0,32,26,2019_Cory Littleton,0
interceptions,2019,Jourdan Lewis,2,0,20,20,2019_Jourdan Lewis,0
interceptions,2019,Luke Kuechly,2,0,26,25,2019_Luke Kuechly,0
interceptions,2019,Sidney Jones,2,0,4,3,2019_Sidney Jones,0
interceptions,2019,John Johnson,2,0,0,0,2019_John Johnson,0
interceptions,2019,Kareem Jackson,2,0,28,24,2019_Kareem Jackson,0
interceptions,2019,Eddie Jackson,2,0,18,14,2019_Eddie Jackson,0
interceptions,2019,Malik Hooker,2,0,39,26,2019_Malik Hooker,0
interceptions,2019,Troy Hill,2,0,6,6,2019_Troy Hill,0
interceptions,2019,Neville Hewitt,2,0,13,9,2019_Neville Hewitt,0
