stats_type,year,Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,year_player,won_super_bowl
receiving,2018,Julio Jones,113,1677,8,24,2,58,80,0.708,2,0,170,2018_Julio Jones,0
receiving,2018,DeAndre Hopkins,115,1572,11,23,4,49,81,0.704,2,0,163,2018_DeAndre Hopkins,0
receiving,2018,Mike Evans,86,1524,8,26,6,72,69,0.802,1,0,138,2018_Mike Evans,0
receiving,2018,Tyreek Hill,87,1479,12,27,8,75,60,0.69,0,0,137,2018_Tyreek Hill,0
receiving,2018,JuJu Smith-Schuster,111,1426,7,18,5,97,68,0.613,1,0,166,2018_JuJu Smith-Schuster,0
receiving,2018,Michael Thomas,125,1405,9,17,2,72,75,0.6,2,0,147,2018_Michael Thomas,0
receiving,2018,Davante Adams,111,1386,13,18,5,57,64,0.577,0,0,169,2018_Davante Adams,0
receiving,2018,George Kittle,88,1377,5,20,6,85,60,0.682,0,0,136,2018_George Kittle,0
receiving,2018,Adam Thielen,113,1373,9,17,3,68,74,0.655,1,0,153,2018_Adam Thielen,0
receiving,2018,Travis Kelce,103,1336,10,18,2,43,68,0.66,2,0,150,2018_Travis Kelce,0
receiving,2018,Antonio Brown,104,1297,15,17,6,78,63,0.606,0,0,168,2018_Antonio Brown,0
receiving,2018,T.Y. Hilton,76,1270,6,22,6,68,55,0.724,0,0,120,2018_T.Y. Hilton,0
receiving,2018,Robert Woods,86,1219,6,20,0,39,66,0.767,0,0,130,2018_Robert Woods,0
receiving,2018,Brandin Cooks,80,1204,5,22,4,57,56,0.7,1,0,117,2018_Brandin Cooks,0
receiving,2018,Keenan Allen,97,1196,6,13,1,54,62,0.639,1,0,136,2018_Keenan Allen,0
receiving,2018,Zach Ertz,116,1163,8,13,0,34,66,0.569,1,0,156,2018_Zach Ertz,0
receiving,2018,Kenny Golladay,70,1063,5,19,3,60,56,0.8,1,0,119,2018_Kenny Golladay,0
receiving,2018,Odell Beckham Jr.,77,1052,6,17,3,51,51,0.662,0,0,124,2018_Odell Beckham Jr.,0
receiving,2018,Tyler Boyd,76,1028,7,21,1,49,54,0.711,0,0,108,2018_Tyler Boyd,0
receiving,2018,Stefon Diggs,102,1021,9,13,2,75,49,0.48,0,0,149,2018_Stefon Diggs,0
receiving,2018,Amari Cooper,75,1005,7,10,3,126,53,0.707,2,0,107,2018_Amari Cooper,0
receiving,2018,Jarvis Landry,81,976,4,13,2,51,44,0.543,1,0,149,2018_Jarvis Landry,0
receiving,2018,Tyler Lockett,57,965,10,17,6,52,37,0.649,1,0,70,2018_Tyler Lockett,0
receiving,2018,Jared Cook,68,896,6,15,1,45,46,0.676,0,0,101,2018_Jared Cook,0
receiving,2018,Corey Davis,65,891,4,15,2,51,47,0.723,1,0,112,2018_Corey Davis,0
receiving,2018,Sterling Shepard,66,872,4,12,3,58,47,0.712,0,0,107,2018_Sterling Shepard,0
receiving,2018,Emmanuel Sanders,71,868,4,13,4,64,37,0.521,1,0,98,2018_Emmanuel Sanders,0
receiving,2018,Christian McCaffrey,107,867,6,11,0,38,41,0.383,2,0,124,2018_Christian McCaffrey,0
receiving,2018,Julian Edelman,74,850,6,12,0,36,41,0.554,0,0,108,2018_Julian Edelman,1
receiving,2018,Alshon Jeffery,65,843,6,9,2,52,48,0.738,1,0,92,2018_Alshon Jeffery,0
receiving,2018,Chris Godwin,59,842,7,10,1,48,48,0.814,4,0,95,2018_Chris Godwin,0
receiving,2018,Mohamed Sanu,66,838,4,7,2,44,41,0.621,2,0,94,2018_Mohamed Sanu,0
receiving,2018,Calvin Ridley,64,821,10,11,4,75,39,0.609,2,0,92,2018_Calvin Ridley,0
receiving,2018,Adam Humphries,76,816,5,7,1,51,48,0.632,0,0,105,2018_Adam Humphries,0
receiving,2018,Golden Tate,74,795,4,9,2,99,33,0.446,2,0,113,2018_Golden Tate,0
receiving,2018,D.J. Moore,55,788,2,9,3,82,33,0.6,1,0,82,2018_D.J. Moore,0
receiving,2018,DeSean Jackson,41,774,4,13,5,75,31,0.756,0,0,74,2018_DeSean Jackson,0
receiving,2018,Allen Robinson,55,754,4,11,1,43,36,0.655,1,0,94,2018_Allen Robinson,0
receiving,2018,Robby Anderson,50,752,6,10,2,76,30,0.6,2,0,94,2018_Robby Anderson,0
receiving,2018,James White,87,751,7,3,1,42,38,0.437,0,0,123,2018_James White,1
receiving,2018,Eric Ebron,66,750,13,7,1,53,39,0.591,0,0,110,2018_Eric Ebron,0
receiving,2018,Jordy Nelson,63,739,3,7,3,66,36,0.571,0,0,88,2018_Jordy Nelson,0
receiving,2018,Josh Gordon,41,737,4,12,3,72,30,0.732,0,0,71,2018_Josh Gordon,1
receiving,2018,Nelson Agholor,64,736,4,10,5,83,28,0.438,1,0,97,2018_Nelson Agholor,0
receiving,2018,Larry Fitzgerald,69,734,6,8,0,37,39,0.565,0,0,112,2018_Larry Fitzgerald,0
receiving,2018,Tarik Cohen,71,725,5,9,3,70,29,0.408,1,0,91,2018_Tarik Cohen,0
receiving,2018,Saquon Barkley,91,721,4,5,2,57,30,0.33,0,0,121,2018_Saquon Barkley,0
receiving,2018,Dede Westbrook,66,717,5,15,1,61,38,0.576,2,0,101,2018_Dede Westbrook,0
receiving,2018,John Brown,42,715,5,11,4,71,28,0.667,0,0,97,2018_John Brown,0
receiving,2018,Alvin Kamara,81,709,4,7,1,42,31,0.383,0,0,105,2018_Alvin Kamara,0
receiving,2018,Courtland Sutton,42,704,4,16,3,42,30,0.714,0,0,84,2018_Courtland Sutton,0
receiving,2018,A.J. Green,46,694,6,12,0,38,37,0.804,2,0,77,2018_A.J. Green,0
receiving,2018,Taylor Gabriel,67,688,2,7,3,54,31,0.463,1,0,93,2018_Taylor Gabriel,0
receiving,2018,Rob Gronkowski,47,682,3,8,1,42,34,0.723,1,0,72,2018_Rob Gronkowski,1
receiving,2018,Demaryius Thomas,59,677,5,9,2,76,37,0.627,0,0,89,2018_Demaryius Thomas,0
receiving,2018,Cole Beasley,65,672,3,3,0,32,39,0.6,0,0,87,2018_Cole Beasley,0
receiving,2018,Donte Moncrief,48,668,3,7,2,80,28,0.583,1,0,89,2018_Donte Moncrief,0
receiving,2018,Mike Williams,43,664,10,11,2,55,36,0.837,0,0,66,2018_Mike Williams,0
receiving,2018,Austin Hooper,71,660,4,7,0,36,30,0.423,0,0,88,2018_Austin Hooper,0
receiving,2018,Tyrell Williams,41,653,5,11,4,75,30,0.732,2,0,65,2018_Tyrell Williams,0
receiving,2018,Zay Jones,56,652,7,7,1,57,33,0.589,1,0,102,2018_Zay Jones,0
receiving,2018,Willie Snead,62,651,1,5,0,28,37,0.597,0,0,95,2018_Willie Snead,0
receiving,2018,David Njoku,56,639,4,9,2,66,27,0.482,0,0,88,2018_David Njoku,0
receiving,2018,Jimmy Graham,55,636,2,7,1,54,32,0.582,0,0,89,2018_Jimmy Graham,0
receiving,2018,Kyle Rudolph,64,634,4,6,1,44,32,0.5,0,0,82,2018_Kyle Rudolph,0
receiving,2018,Doug Baldwin,50,618,5,9,2,42,32,0.64,0,0,73,2018_Doug Baldwin,0
receiving,2018,Vance McDonald,50,610,4,6,2,75,33,0.66,2,0,72,2018_Vance McDonald,0
receiving,2018,Jalen Richard,68,607,0,5,0,32,23,0.338,0,0,81,2018_Jalen Richard,0
receiving,2018,Michael Crabtree,54,607,3,6,0,27,35,0.648,0,0,100,2018_Michael Crabtree,0
receiving,2018,Christian Kirk,43,590,3,8,2,75,21,0.488,0,0,68,2018_Christian Kirk,0
receiving,2018,Antonio Callaway,43,586,5,8,3,71,27,0.628,1,0,79,2018_Antonio Callaway,0
receiving,2018,Marquez Valdes-Scantling,38,581,2,8,4,60,23,0.605,0,0,73,2018_Marquez Valdes-Scantling,0
receiving,2018,Todd Gurley,59,580,4,5,1,56,26,0.441,1,0,81,2018_Todd Gurley,0
receiving,2018,Evan Engram,45,577,3,8,2,54,22,0.489,0,0,64,2018_Evan Engram,0
receiving,2018,Danny Amendola,59,575,1,4,0,39,27,0.458,0,0,79,2018_Danny Amendola,0
receiving,2018,Rashard Higgins,39,572,4,11,1,40,27,0.692,2,0,53,2018_Rashard Higgins,0
receiving,2018,Trey Burton,54,569,6,7,1,47,29,0.537,1,0,76,2018_Trey Burton,0
receiving,2018,Ezekiel Elliott,77,567,3,4,0,38,22,0.286,0,0,95,2018_Ezekiel Elliott,0
receiving,2018,Cooper Kupp,40,566,6,9,3,70,25,0.625,0,0,55,2018_Cooper Kupp,0
receiving,2018,O.J. Howard,34,565,5,11,1,75,28,0.824,0,0,48,2018_O.J. Howard,0
receiving,2018,Jordan Reed,54,558,2,7,0,34,26,0.481,1,0,84,2018_Jordan Reed,0
receiving,2018,Kenny Stills,37,553,6,7,2,75,27,0.73,0,0,64,2018_Kenny Stills,0
receiving,2018,Mark Andrews,34,552,3,8,2,74,28,0.824,0,0,50,2018_Mark Andrews,0
receiving,2018,Devin Funchess,44,549,4,8,0,27,35,0.795,0,0,79,2018_Devin Funchess,0
receiving,2018,Robert Foster,27,541,3,9,4,75,20,0.741,0,0,44,2018_Robert Foster,0
receiving,2018,Chris Hogan,35,532,3,11,2,63,22,0.629,0,0,55,2018_Chris Hogan,1
receiving,2018,Josh Doctson,44,532,2,7,0,32,31,0.705,0,0,78,2018_Josh Doctson,0
receiving,2018,Sammy Watkins,40,519,3,7,2,50,24,0.6,0,0,55,2018_Sammy Watkins,0
receiving,2018,Marvin Jones,35,508,5,5,0,39,27,0.771,0,0,62,2018_Marvin Jones,0
receiving,2018,Michael Gallup,33,507,2,10,2,49,21,0.636,0,0,68,2018_Michael Gallup,0
receiving,2018,Will Fuller,32,503,4,7,1,73,23,0.719,0,0,45,2018_Will Fuller,0
