stats_type,year,Player,Comb,Asst,Solo,Sck,year_player,won_super_bowl
tackles,2017,Joe Schobert,144,57,82,3.0,2017_Joe Schobert,0
tackles,2017,Blake Martinez,144,48,84,1.0,2017_Blake Martinez,0
tackles,2017,Preston Brown,144,60,68,0.0,2017_Preston Brown,0
tackles,2017,Christian Kirksey,138,52,81,3.5,2017_Christian Kirksey,0
tackles,2017,Deion Jones,138,47,85,1.0,2017_Deion Jones,0
tackles,2017,Demario Davis,135,38,93,5.0,2017_Demario Davis,0
tackles,2017,Bobby Wagner,133,36,88,1.5,2017_Bobby Wagner,0
tackles,2017,C.J. Mosley,132,36,94,1.0,2017_C.J. Mosley,0
tackles,2017,Zach Brown,127,43,77,2.5,2017_Zach Brown,0
tackles,2017,NaVorro Bowman,127,47,63,1.5,2017_NaVorro Bowman,0
tackles,2017,Luke Kuechly,125,51,71,1.5,2017_Luke Kuechly,0
tackles,2017,Wesley Woodyard,124,40,78,5.0,2017_Wesley Woodyard,0
tackles,2017,Reshad Jones,122,28,87,1.5,2017_Reshad Jones,0
tackles,2017,Keanu Neal,116,33,79,0.0,2017_Keanu Neal,0
tackles,2017,Kiko Alonso,115,36,74,1.0,2017_Kiko Alonso,0
tackles,2017,Eric Kendricks,113,46,66,1.0,2017_Eric Kendricks,0
tackles,2017,Tahir Whitehead,110,32,69,1.0,2017_Tahir Whitehead,0
tackles,2017,Antonio Morrison,109,45,62,0.0,2017_Antonio Morrison,0
tackles,2017,K.J. Wright,108,37,65,0.0,2017_K.J. Wright,0
tackles,2017,Brandon Marshall,106,31,69,3.0,2017_Brandon Marshall,0
tackles,2017,Landon Collins,104,26,62,0.0,2017_Landon Collins,0
tackles,2017,Telvin Smith,102,26,73,1.0,2017_Telvin Smith,0
tackles,2017,Sean Lee,101,31,64,0.0,2017_Sean Lee,0
tackles,2017,Lavonte David,101,25,67,0.0,2017_Lavonte David,0
tackles,2017,Matthias Farley,98,38,60,0.0,2017_Matthias Farley,0
tackles,2017,Devin McCourty,97,17,76,1.0,2017_Devin McCourty,0
tackles,2017,Jon Bostic,97,40,54,1.0,2017_Jon Bostic,0
tackles,2017,Kwon Alexander,97,27,58,0.0,2017_Kwon Alexander,0
tackles,2017,Jarrad Davis,96,31,62,2.0,2017_Jarrad Davis,0
tackles,2017,Jahleel Addae,96,30,54,0.5,2017_Jahleel Addae,0
tackles,2017,Jordan Poyer,95,32,55,2.0,2017_Jordan Poyer,0
tackles,2017,Alec Ogletree,95,32,58,2.0,2017_Alec Ogletree,0
tackles,2017,Benardrick McKinney,95,33,57,3.0,2017_Benardrick McKinney,0
tackles,2017,Karlos Dansby,95,21,69,1.0,2017_Karlos Dansby,0
tackles,2017,Darron Lee,94,27,63,3.0,2017_Darron Lee,0
tackles,2017,Avery Williamson,92,40,51,3.0,2017_Avery Williamson,0
tackles,2017,Sean Davis,92,21,69,1.0,2017_Sean Davis,0
tackles,2017,De'Vondre Campbell,92,31,57,2.0,2017_De'Vondre Campbell,0
tackles,2017,Patrick Onwuasor,90,23,63,1.0,2017_Patrick Onwuasor,0
tackles,2017,Christian Jones,90,30,60,2.0,2017_Christian Jones,0
tackles,2017,Myles Jack,90,24,63,2.0,2017_Myles Jack,0
tackles,2017,Zach Cunningham,90,42,42,1.5,2017_Zach Cunningham,0
tackles,2017,Vince Williams,89,20,57,8.0,2017_Vince Williams,0
tackles,2017,Danny Trevathan,89,29,56,2.0,2017_Danny Trevathan,0
tackles,2017,Daniel Sorensen,89,22,61,1.5,2017_Daniel Sorensen,0
tackles,2017,Ryan Shazier,89,21,61,0.0,2017_Ryan Shazier,0
tackles,2017,Reggie Nelson,89,29,52,0.0,2017_Reggie Nelson,0
tackles,2017,Ramon Humber,89,29,48,1.0,2017_Ramon Humber,0
tackles,2017,Earl Thomas,88,32,54,0.0,2017_Earl Thomas,0
tackles,2017,Nigel Bradham,88,27,56,1.0,2017_Nigel Bradham,1
tackles,2017,Kevin Byard,87,25,58,0.0,2017_Kevin Byard,0
tackles,2017,Mark Barron,86,13,64,1.0,2017_Mark Barron,0
tackles,2017,Vincent Rey,85,33,50,0.0,2017_Vincent Rey,0
tackles,2017,Darqueze Dennard,85,24,60,2.0,2017_Darqueze Dennard,0
tackles,2017,James Bradberry,85,19,65,1.0,2017_James Bradberry,0
tackles,2017,Lawrence Timmons,84,26,53,0.0,2017_Lawrence Timmons,0
tackles,2017,Glover Quin,84,24,55,0.0,2017_Glover Quin,0
tackles,2017,Anthony Hitchens,84,29,45,0.0,2017_Anthony Hitchens,0
tackles,2017,Patrick Chung,84,13,61,0.0,2017_Patrick Chung,0
tackles,2017,T.J. Carrie,84,14,65,0.0,2017_T.J. Carrie,0
tackles,2017,Vonn Bell,83,21,60,4.5,2017_Vonn Bell,0
tackles,2017,Jamal Adams,83,20,60,2.0,2017_Jamal Adams,0
tackles,2017,Byron Jones,82,25,53,0.0,2017_Byron Jones,0
tackles,2017,Micah Hyde,82,17,58,0.0,2017_Micah Hyde,0
tackles,2017,Todd Davis,82,34,37,1.0,2017_Todd Davis,0
tackles,2017,Deone Bucannon,82,24,55,1.0,2017_Deone Bucannon,0
tackles,2017,Jaylon Smith,81,31,48,1.0,2017_Jaylon Smith,0
tackles,2017,Jake Ryan,81,29,43,1.0,2017_Jake Ryan,0
tackles,2017,Andrew Sendejo,80,26,52,0.0,2017_Andrew Sendejo,0
tackles,2017,Craig Robertson,80,27,50,2.0,2017_Craig Robertson,0
tackles,2017,George Iloka,80,26,53,0.0,2017_George Iloka,0
tackles,2017,Nick Vigil,79,34,43,1.0,2017_Nick Vigil,0
tackles,2017,D.J. Swearinger,79,18,54,0.5,2017_D.J. Swearinger,0
tackles,2017,Marcus Maye,79,22,55,0.0,2017_Marcus Maye,0
tackles,2017,Karl Joseph,79,21,51,1.0,2017_Karl Joseph,0
tackles,2017,Tony Jefferson,79,23,54,2.5,2017_Tony Jefferson,0
tackles,2017,Ha Ha Clinton-Dix,79,14,58,0.0,2017_Ha Ha Clinton-Dix,0
tackles,2017,Jatavis Brown,79,25,36,0.0,2017_Jatavis Brown,0
tackles,2017,Tre Boston,79,23,46,0.0,2017_Tre Boston,0
tackles,2017,Harrison Smith,78,17,58,1.5,2017_Harrison Smith,0
tackles,2017,Tyrann Mathieu,78,8,67,1.0,2017_Tyrann Mathieu,0
tackles,2017,Khalil Mack,78,17,51,10.5,2017_Khalil Mack,0
tackles,2017,Mychal Kendricks,77,22,48,2.0,2017_Mychal Kendricks,1
tackles,2017,Dontae Johnson,77,8,59,0.0,2017_Dontae Johnson,0
tackles,2017,Chris Conte,77,15,56,0.0,2017_Chris Conte,0
tackles,2017,Desmond King,76,10,46,4.0,2017_Desmond King,0
tackles,2017,Malcolm Jenkins,76,13,58,1.0,2017_Malcolm Jenkins,1
tackles,2017,Damon Harrison,76,25,25,1.5,2017_Damon Harrison,0
tackles,2017,Thomas Davis,76,24,50,2.5,2017_Thomas Davis,0
tackles,2017,Kurt Coleman,76,25,50,0.0,2017_Kurt Coleman,0
tackles,2017,Darian Thompson,75,14,45,0.0,2017_Darian Thompson,0
