year,stat_type,Team,rush_att,rush_yds,avg_rush,rush_td,rush_20+,rush_40+,rush_Lng,rush_1st,rush_1st%,rush_fumbles,rec_td,tot_td,2pt,passing,pass_att,pass_cmp,pass_cmp%,avg_pass,pass_yds,int,qbrate,pass_lng,sck,SckY,pass_20+,pass_40+,pass_Lng,pass_rec_1st,pass_rec_1st%,rec_fumbles,3rd_att,3rd_md,4th_att,4th_md,total_plays,year_team,sb_winner,sb_appearance,passtd_rushtd_ratio
2017,offense,Chiefs,405,1903,4.7,12,15,4,70,95,23.5,3,26,42,0,passing,543.0,363.0,66.9,8.0,4326.0,8.0,100.8,79T,37.0,222.0,54.0,14.0,79T,198.0,54.5,2.0,199.0,78.0,10.0,3.0,985.0,2017_Chiefs,0,0,2.1666666666666665
2017,offense,Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,38,53,6,passing,564.0,341.0,60.5,7.0,3967.0,9.0,97.6,72T,36.0,230.0,43.0,9.0,72T,193.0,56.6,2.0,230.0,96.0,26.0,17.0,1073.0,2017_Eagles,0,0,4.222222222222222
2017,offense,Dolphins,360,1388,3.9,4,10,4,69,66,18.3,5,24,31,1,passing,602.0,373.0,62.0,6.3,3792.0,21.0,78.7,65T,33.0,257.0,41.0,5.0,65T,187.0,50.1,10.0,202.0,64.0,24.0,7.0,995.0,2017_Dolphins,0,0,6.0
2017,offense,Cowboys,480,2170,4.5,18,12,2,70,127,26.5,1,22,42,0,passing,493.0,309.0,62.7,6.7,3326.0,13.0,86.3,81T,32.0,185.0,34.0,8.0,81T,162.0,52.4,2.0,203.0,87.0,19.0,10.0,1005.0,2017_Cowboys,0,0,1.2222222222222223
2017,offense,Colts,451,1661,3.7,11,8,0,35,94,20.8,7,13,25,0,passing,487.0,285.0,58.5,6.6,3226.0,9.0,79.7,80T,56.0,334.0,36.0,9.0,80T,148.0,51.9,4.0,228.0,87.0,17.0,8.0,994.0,2017_Colts,0,0,1.1818181818181819
2017,offense,Chargers,419,1595,3.8,10,10,1,87T,84,20.0,5,28,43,0,passing,583.0,366.0,62.8,7.8,4551.0,11.0,95.1,75T,18.0,120.0,61.0,12.0,75T,220.0,60.1,3.0,209.0,84.0,11.0,5.0,1020.0,2017_Chargers,0,0,2.8
2017,offense,Bears,422,1788,4.2,13,10,5,53,93,22.0,10,13,31,1,passing,473.0,291.0,61.5,6.5,3085.0,12.0,79.1,70,39.0,274.0,30.0,4.0,70,144.0,49.5,1.0,205.0,71.0,18.0,7.0,934.0,2017_Bears,0,0,1.0
2017,offense,Buccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,26,38,2,passing,605.0,378.0,62.5,7.6,4607.0,14.0,90.6,70,40.0,241.0,47.0,6.0,70,243.0,64.3,6.0,196.0,85.0,8.0,4.0,1034.0,2017_Buccaneers,0,0,3.25
2017,offense,Browns,384,1714,4.5,11,7,1,59,97,25.3,5,15,27,1,passing,574.0,312.0,54.4,6.2,3537.0,28.0,61.4,56T,50.0,309.0,53.0,5.0,56T,157.0,50.3,4.0,216.0,73.0,23.0,12.0,1008.0,2017_Browns,0,0,1.3636363636363635
2017,offense,Broncos,457,1852,4.1,8,8,1,40,92,20.1,5,19,31,2,passing,566.0,332.0,58.7,6.5,3668.0,22.0,73.0,54T,52.0,335.0,55.0,3.0,54T,180.0,54.2,3.0,241.0,94.0,20.0,7.0,1075.0,2017_Broncos,0,0,2.375
