No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Herb Adderley,27,LCB,14,14,205,6-0,Michigan St.,6/8/1939,5,15,New York Titans / 2nd / 10th pick / 1961 Green Bay Packers / 1st / 12th pick / 1961,AddeHe00
82,Lionel Aldridge,25,RDE,13,13,254,6-3,Utah St.,2/14/1941,3,9,Houston Oilers / 6th / 47th pick / 1963 Green Bay Packers / 4th / 54th pick / 1963,AldrLi20
88,Bill Anderson,30,TE,10,1,211,6-3,Tennessee,7/16/1936,8,0,Washington Redskins / 3rd / 31st pick / 1958,AndeBi00
44,Donny Anderson,23,RB,14,0,215,6-2,Texas Tech,5/16/1943,Rook,2,Houston Oilers / 1st / 2nd pick / 1965 Green Bay Packers / 1st / 7th pick / 1965,AndeDo00
57,Ken Bowman,24,C,4,2,230,6-3,Wisconsin,12/15/1942,2,1,New York Jets / 10th / 75th pick / 1964 Green Bay Packers / 8th / 111th pick / 1964,BowmKe20
12,Zeke Bratkowski,35,QB,8,1,210,6-2,Georgia,10/20/1931,12,2,Chicago Bears / 2nd / 17th pick / 1953,BratZe00
83,Allen Brown,23,TE,5,0,235,6-5,Mississippi,3/2/1943,Rook,0,San Diego Chargers / 3rd / 22nd pick / 1965 Green Bay Packers / 3rd / 38th pick / 1965,BrowAl00
78,Robert Brown,27,DE,14,1,260,6-5,Ark-Pine Bluff,2/23/1939,Rook,2,San Francisco 49ers / 13th / 169th pick / 1964,BrowRo02
40,Tom Brown,26,FS,14,14,192,6-1,Maryland,12/12/1940,2,7,Buffalo Bills / 3rd / 20th pick / 1963 Green Bay Packers / 2nd / 28th pick / 1963,BrowTo21
60,Lee Roy Caffey,25,RLB,14,14,240,6-4,Texas A&M,6/3/1941,3,16,Houston Oilers / 4th / 25th pick / 1963 Philadelphia Eagles / 7th / 88th pick / 1963,CaffLe00
34,Don Chandler,32,P,14,0,215,6-2,Florida,9/5/1934,10,3,New York Giants / 5th / 57th pick / 1956,ChanDo20
56,Tommy Crutcher,25,LB,14,0,229,6-3,TCU,8/10/1941,2,5,Green Bay Packers / 3rd / 41st pick / 1964 Kansas City Chiefs / 11th / 82nd pick / 1964,CrutTo20
50,Bill Curry,24,C,14,12,235,6-3,Georgia Tech,10/21/1942,1,6,Oakland Raiders / 23rd / 183rd pick / 1964 Green Bay Packers / 20th / 279th pick / 1964,CurrBi00
84,Carroll Dale,28,TE/LE,14,13,200,6-2,Virginia Tech,4/24/1938,6,11,Los Angeles Rams / 8th / 86th pick / 1960,DaleCa00
87,Willie Davis,32,LDE,14,14,243,6-3,Grambling St.,7/24/1934,8,16,Cleveland Browns / 15th / 181st pick / 1956,DaviWi01
86,Boyd Dowler,29,FL,14,14,224,6-5,Colorado,10/18/1937,7,5,Green Bay Packers / 3rd / 25th pick / 1959,DowlBo00
81,Marv Fleming,24,LE/TE,14,14,232,6-4,Utah,1/2/1942,3,4,Denver Broncos / 9th / 69th pick / 1963 Green Bay Packers / 11th / 154th pick / 1963,FlemMa00
68,Gale Gillingham,22,G,14,2,255,6-3,Minnesota,2/3/1944,Rook,2,Green Bay Packers / 1st / 13th pick / 1966,GillGa00
33,Jim Grabowski,22,RB,14,0,220,6-2,Illinois,9/9/1944,Rook,1,Miami Dolphins / 1st / 1st pick / 1966 Green Bay Packers / 1st / 9th pick / 1966,GrabJi00
75,Forrest Gregg,33,RT,14,14,249,6-4,SMU,10/18/1933,10,13,Green Bay Packers / 2nd / 20th pick / 1956,GregFo00
43,Doug Hart,27,DB,14,0,190,6-0,Texas-Arlington,6/3/1939,2,4,,HartDo20
45,Dave Hathcock,23,DB,14,0,195,6-0,Memphis,7/20/1943,Rook,3,Green Bay Packers / 17th / 258th pick / 1966,HathDa20
5,Paul Hornung,31,HB,9,6,215,6-2,Notre Dame,12/23/1935,9,4,Green Bay Packers / 1st / 1st pick / 1957,HornPa00
21,Bob Jeter,29,RCB,14,14,200,6-1,Iowa,5/9/1937,3,8,Los Angeles Chargers / 1960 Green Bay Packers / 2nd / 17th pick / 1960,JeteBo00
74,Henry Jordan,31,RDT,14,13,248,6-2,Virginia,1/26/1935,9,12,Cleveland Browns / 5th / 52nd pick / 1957,JordHe00
77,Ron Kostelnik,26,LDT,14,14,260,6-4,Cincinnati,1/14/1940,5,9,Green Bay Packers / 2nd / 26th pick / 1961 Buffalo Bills / 14th / 108th pick / 1961,KostRo20
64,Jerry Kramer,30,RG,14,14,245,6-3,Idaho,1/23/1936,8,13,Green Bay Packers / 4th / 39th pick / 1958,KramJe00
80,Bob Long,24,FL,5,0,205,6-3,Wichita St.,6/16/1942,2,1,Green Bay Packers / 4th / 44th pick / 1964 San Diego Chargers / 10th / 74th pick / 1964,LongBo00
27,Red Mack,29,FL,8,0,180,5-10,Notre Dame,6/19/1937,5,0,Pittsburgh Steelers / 10th / 131st pick / 1961 Buffalo Bills / 23rd / 180th pick / 1961,MackRe00
85,Max McGee,34,E,12,0,205,6-3,Tulane,7/16/1932,12,1,Green Bay Packers / 5th / 51st pick / 1954,McGeMa00
66,Ray Nitschke,30,MLB,14,14,235,6-3,Illinois,12/29/1936,8,15,Green Bay Packers / 3rd / 36th pick / 1958,NitsRa00
22,Elijah Pitts,28,HB,14,8,204,6-1,Philander Smith,2/3/1938,5,9,Green Bay Packers / 13th / 180th pick / 1961,PittEl00
89,Dave Robinson,25,LLB,14,14,245,6-3,Penn St.,5/3/1941,3,13,Green Bay Packers / 1st / 14th pick / 1963 San Diego Chargers / 3rd / 17th pick / 1963,RobiDa00
76,Bob Skoronski,32,LT,14,14,249,6-3,Indiana,3/5/1934,10,9,Green Bay Packers / 5th / 56th pick / 1956,SkorBo00
15,Bart Starr,32,QB,14,13,197,6-1,Alabama,1/9/1934,10,12,Green Bay Packers / 17th / 200th pick / 1956,StarBa00
31,Jim Taylor,31,FB,14,14,214,6-0,LSU,9/20/1935,8,9,Green Bay Packers / 2nd / 15th pick / 1958,TaylJi00
63,Fuzzy Thurston,33,LG,12,12,247,6-1,Valparaiso,12/29/1933,8,6,Philadelphia Eagles / 5th / 54th pick / 1956,ThurFu20
37,Phil Vandersea,23,LB,14,0,245,6-3,Massachusetts,2/25/1943,Rook,4,Denver Broncos / 9th / 65th pick / 1965 Green Bay Packers / 16th / 220th pick / 1965,VandPh20
73,Jim Weatherwax,23,DT,14,1,260,6-7,West Texas A&MLos Angeles St.,1/9/1943,Rook,2,San Diego Chargers / 5th / 38th pick / 1965 Green Bay Packers / 11th / 150th pick / 1965,WeatJi22
24,Willie Wood,30,SS,14,14,190,5-10,USC,12/23/1936,6,12,,WoodWi00
72,Steve Wright,24,T,14,0,250,6-6,Alabama,7/17/1942,2,4,New York Jets / 8th / 59th pick / 1964 Green Bay Packers / 5th / 69th pick / 1964,WrigSt20
,Team Total,27.6,,14,,225.2,6-2.5,,,4.8,,,-9999
