No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
26,Herb Adderley,28,LCB,14,14,205,6-0,Michigan St.,6/8/1939,6,12,New York Titans / 2nd / 10th pick / 1961 Green Bay Packers / 1st / 12th pick / 1961,AddeHe00
82,Lionel Aldridge,26,RDE,12,11,254,6-3,Utah St.,2/14/1941,4,7,Houston Oilers / 6th / 47th pick / 1963 Green Bay Packers / 4th / 54th pick / 1963,AldrLi20
44,Donny Anderson,24,LHB,14,5,215,6-2,Texas Tech,5/16/1943,1,7,Houston Oilers / 1st / 2nd pick / 1965 Green Bay Packers / 1st / 7th pick / 1965,AndeDo00
57,Ken Bowman,25,C,13,10,230,6-3,Wisconsin,12/15/1942,3,5,New York Jets / 10th / 75th pick / 1964 Green Bay Packers / 8th / 111th pick / 1964,BowmKe20
12,Zeke Bratkowski,36,QB,6,2,210,6-2,Georgia,10/20/1931,13,3,Chicago Bears / 2nd / 17th pick / 1953,BratZe00
83,Allen Brown,24,TE,14,1,235,6-5,Mississippi,3/2/1943,1,0,San Diego Chargers / 3rd / 22nd pick / 1965 Green Bay Packers / 3rd / 38th pick / 1965,BrowAl00
78,Robert Brown,28,DE,14,0,260,6-5,Ark-Pine Bluff,2/23/1939,1,4,San Francisco 49ers / 13th / 169th pick / 1964,BrowRo02
40,Tom Brown,27,SS,14,14,192,6-1,Maryland,12/12/1940,3,6,Buffalo Bills / 3rd / 20th pick / 1963 Green Bay Packers / 2nd / 28th pick / 1963,BrowTo21
60,Lee Roy Caffey,26,RLB,13,13,240,6-4,Texas A&M,6/3/1941,4,8,Houston Oilers / 4th / 25th pick / 1963 Philadelphia Eagles / 7th / 88th pick / 1963,CaffLe00
88,Dick Capp,25,TE,2,0,240,6-4,Boston Col.,4/9/1942,Rook,0,Boston Patriots / 17th / 147th pick / 1966,CappDi20
34,Don Chandler,33,K,14,0,215,6-2,Florida,9/5/1934,11,7,New York Giants / 5th / 57th pick / 1956,ChanDo20
56,Tommy Crutcher,26,LB,14,1,229,6-3,TCU,8/10/1941,3,2,Green Bay Packers / 3rd / 41st pick / 1964 Kansas City Chiefs / 11th / 82nd pick / 1964,CrutTo20
84,Carroll Dale,29,FL,14,14,200,6-2,Virginia Tech,4/24/1938,7,8,Los Angeles Rams / 8th / 86th pick / 1960,DaleCa00
87,Willie Davis,33,LDE,14,14,243,6-3,Grambling St.,7/24/1934,9,15,Cleveland Browns / 15th / 181st pick / 1956,DaviWi01
86,Boyd Dowler,30,LE,14,14,224,6-5,Colorado,10/18/1937,8,9,Green Bay Packers / 3rd / 25th pick / 1959,DowlBo00
55,Jim Flanigan,22,LB,12,0,240,6-3,Pittsburgh,4/15/1945,Rook,4,Green Bay Packers / 2nd / 51st pick / 1967,FlanJi20
81,Marv Fleming,25,TE,14,14,232,6-4,Utah,1/2/1942,4,1,Denver Broncos / 9th / 69th pick / 1963 Green Bay Packers / 11th / 154th pick / 1963,FlemMa00
68,Gale Gillingham,23,LG,14,14,255,6-3,Minnesota,2/3/1944,1,7,Green Bay Packers / 1st / 13th pick / 1966,GillGa00
33,Jim Grabowski,23,FB,9,8,220,6-2,Illinois,9/9/1944,1,6,Miami Dolphins / 1st / 1st pick / 1966 Green Bay Packers / 1st / 9th pick / 1966,GrabJi00
75,Forrest Gregg,34,RT,14,14,249,6-4,SMU,10/18/1933,11,12,Green Bay Packers / 2nd / 20th pick / 1956,GregFo00
43,Doug Hart,28,DB,14,0,190,6-0,Texas-Arlington,6/3/1939,3,3,,HartDo20
13,Don Horn,22,QB,3,0,195,6-2,Washington St.San Diego St.,3/9/1945,Rook,1,Green Bay Packers / 1st / 25th pick / 1967,HornDo00
50,Bob Hyland,22,C,14,4,255,6-5,Boston Col.,7/21/1945,Rook,3,Green Bay Packers / 1st / 9th pick / 1967,HylaBo20
27,Claudis James,24,FL,1,0,190,6-2,Jackson St.,11/7/1943,Rook,0,Green Bay Packers / 14th / 366th pick / 1967,JameCl00
21,Bob Jeter,30,RCB,14,14,200,6-1,Iowa,5/9/1937,4,15,Los Angeles Chargers / 1960 Green Bay Packers / 2nd / 17th pick / 1960,JeteBo00
74,Henry Jordan,32,RDT,14,14,248,6-2,Virginia,1/26/1935,10,9,Cleveland Browns / 5th / 52nd pick / 1957,JordHe00
77,Ron Kostelnik,27,LDT,14,14,260,6-4,Cincinnati,1/14/1940,6,8,Green Bay Packers / 2nd / 26th pick / 1961 Buffalo Bills / 14th / 108th pick / 1961,KostRo20
64,Jerry Kramer,31,RG,14,14,245,6-3,Idaho,1/23/1936,9,12,Green Bay Packers / 4th / 39th pick / 1958,KramJe00
