No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
62,Al Atkinson,25,MLB,12,12,230,6-2,Villanova,7/28/1943,3,9,Buffalo Bills / 3rd / 24th pick / 1965 Baltimore Colts / 6th / 84th pick / 1965,AtkiAl00
46,Bill Baird,29,FS,14,8,180,5-10,San Francisco St.,3/1/1939,5,5,,BairBi20
51,Ralph Baker,26,LLB,14,14,228,6-3,Penn St.,8/25/1942,4,9,Pittsburgh Steelers / 3rd / 38th pick / 1964 New York Jets / 6th / 43rd pick / 1964,BakeRa20
42,Randy Beverly,24,RCB,13,10,190,5-11,Colorado St.,4/3/1944,1,6,,BeveRa20
86,Verlon Biggs,25,RDE,13,12,275,6-4,Jackson St.,3/16/1943,3,10,New York Jets / 3rd / 20th pick / 1965,BiggVe00
32,Emerson Boozer,25,RB,12,9,195,5-11,MD-Eastern Shore,7/4/1943,2,5,New York Jets / 6th / 46th pick / 1966 Pittsburgh Steelers / 7th / 98th pick / 1966,BoozEm00
45,Earl Christy,25,DB,14,0,195,5-10,MD-Eastern Shore,3/19/1943,2,0,,ChriEa20
56,Paul Crane,24,LB,13,1,212,6-3,Alabama,1/29/1944,2,2,,CranPa20
47,Mike D'Amato,25,DB,13,0,205,6-2,Hofstra,3/3/1943,Rook,3,New York Jets / 10th / 264th pick / 1968,DAmaMi20
43,John Dockery,24,DB,3,0,185,6-0,Harvard,9/6/1944,Rook,1,,DockJo20
80,John Elliott,24,RDT,14,14,244,6-4,Texas,10/26/1944,1,13,New York Jets / 7th / 171st pick / 1967,ElliJo00
48,Cornell Gordon,27,FS,14,10,187,6-0,North Carolina A&T,1/6/1941,3,5,New York Jets / 23rd / 179th pick / 1964 San Francisco 49ers / 16th / 211th pick / 1964,GordCo20
60,Larry Grantham,30,RLB,13,13,210,6-0,Mississippi,9/16/1938,8,11,New York Titans / 1960 Baltimore Colts / 15th / 178th pick / 1960,GranLa00
73,Raymond Hayes,22,DT,6,0,248,6-5,Toledo,9/5/1946,Rook,3,New York Jets / 12th / 318th pick / 1968,HayeRa20
70,Karl Henke,23,DE,6,0,245,6-4,Tulsa,3/8/1945,Rook,3,New York Jets / 8th / 214th pick / 1968,HenkKa20
67,Dave Herman,27,RG,14,14,255,6-1,Michigan St.,9/3/1941,4,10,New York Giants / 8th / 110th pick / 1963 New York Jets / 27th / 211th pick / 1963,HermDa00
75,Winston Hill,27,LT,14,14,270,6-4,Texas Southern,10/23/1941,5,10,Baltimore Colts / 11th / 145th pick / 1963,HillWi00
22,Jim Hudson,25,SS,14,14,210,6-2,Texas,3/31/1943,3,11,,HudsJi20
35,Billy Joe,28,RB,10,0,235,6-2,Villanova,10/14/1940,5,2,Denver Broncos / 11th / 85th pick / 1963 Washington Redskins / 9th / 119th pick / 1963,JoexBi00
33,Curley Johnson,33,P,14,1,215,6-0,Houston,7/2/1935,8,4,Pittsburgh Steelers / 7th / 77th pick / 1957,JohnCu20
87,Pete Lammons,25,TE,13,13,230,6-3,Texas,10/20/1943,2,5,New York Jets / 8th / 68th pick / 1966 Cleveland Browns / 14th / 213th pick / 1966,LammPe00
31,Bill Mathis,30,RB,14,5,220,6-1,Clemson,12/10/1938,8,4,Denver Broncos / 1960 San Francisco 49ers / 8th / 88th pick / 1960,MathBi00
13,Don Maynard,33,FL,13,13,180,6-0,Texas-El Paso,1/25/1935,10,17,New York Giants / 9th / 109th pick / 1957,MaynDo00
50,Carl McAdams,24,DT,14,3,240,6-3,Oklahoma,4/26/1944,1,4,St. Louis Cardinals / 1st / 8th pick / 1966 New York Jets / 3rd / 22nd pick / 1966,McAdCa20
12,Joe Namath,25,QB,14,14,200,6-2,Alabama,5/31/1943,3,15,New York Jets / 1st / 1st pick / 1965 St. Louis Cardinals / 1st / 12th pick / 1965,NamaJo00
63,John Neidert,22,LB,5,0,230,6-2,Louisville,6/18/1946,Rook,3,Cincinnati Bengals / 6th / 145th pick / 1968,NeidJo20
15,Babe Parilli,38,QB,14,0,196,6-1,Kentucky,5/7/1930,16,2,Green Bay Packers / 1st / 4th pick / 1952,PariBa00
81,Gerry Philbin,27,LDE,14,14,245,6-2,Buffalo,7/31/1941,4,16,New York Jets / 3rd / 19th pick / 1964 Detroit Lions / 3rd / 33rd pick / 1964,PhilGe00
23,Bill Rademacher,26,WR,14,0,190,6-1,Northern Michigan,5/13/1942,4,0,,RadeBi00
66,Randy Rasmussen,23,LG,14,7,255,6-2,Nebraska-Kearney,5/10/1945,1,5,New York Jets / 12th / 302nd pick / 1967,RasmRa20
26,Jim Richards,22,DB,12,0,180,6-1,Virginia Tech,10/28/1946,Rook,3,New York Jets / 8th / 210th pick / 1968,RichJi20
74,Jeff Richardson,24,T,14,0,250,6-3,Michigan St.,9/1/1944,1,4,New York Jets / 6th / 146th pick / 1967,RichJe20
72,Paul Rochester,30,LDT,14,13,255,6-2,Michigan St.,7/15/1938,8,8,,RochPa00
24,Johnny Sample,32,LCB,14,14,203,6-1,MD-Eastern Shore,6/15/1936,10,8,Baltimore Colts / 7th / 79th pick / 1958,SampJo20
83,George Sauer,25,LE,14,14,195,6-2,Texas,11/10/1943,3,15,New York Jets / 5th / 36th pick / 1965,SaueGe00
52,John Schmitt,26,C,14,14,250,6-4,Hofstra,11/12/1942,4,13,,SchmJo22
30,Mark Smolinski,29,FB,14,0,215,6-1,Wyoming,5/9/1939,7,1,,SmolMa00
41,Matt Snell,27,RB,14,14,219,6-2,Ohio St.,8/18/1941,4,9,New York Jets / 1st / 3rd pick / 1964 New York Giants / 4th / 49th pick / 1964,SnelMa00
68,Michael Stromberg,23,LB,2,2,235,6-2,Temple,5/25/1945,Rook,1,New York Jets / 14th / 352nd pick / 1967,StroMi21
61,Bob Talamini,29,LG,14,7,255,6-1,Kentucky,1/8/1939,8,5,Houston Oilers / 1960,TalaBo00
85,Steve Thompson,23,DE,4,0,250,6-2,Washington,2/12/1945,Rook,2,New York Jets / 2nd / 44th pick / 1968,ThomSt22
29,Bake Turner,28,FL,13,1,179,6-1,Texas Tech,7/22/1940,6,3,Baltimore Colts / 12th / 163rd pick / 1962,TurnBa00
11,Jim Turner,27,K,14,0,205,6-2,Utah St.,3/28/1941,4,6,Washington Redskins / 19th / 259th pick / 1963,TurnJi22
