No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
10,Chris Bahr,27,K,16,0,170,5-10,Penn St.,2/3/1953,4,2,Cincinnati Bengals / 2nd / 51st pick / 1976,bahrxchr01
56,Jeff Barnes,25,ROLB,16,6,223,6-2,California,3/1/1955,3,4,Oakland Raiders / 5th / 139th pick / 1977,BarnJe20
81,Morris Bradshaw,28,WR,16,0,195,6-1,Ohio St.,10/19/1952,6,1,Oakland Raiders / 4th / 93rd pick / 1974,BradMo00
21,Cliff Branch,32,WR,16,15,170,5-11,Colorado,8/1/1948,8,8,Oakland Raiders / 4th / 98th pick / 1972,BranCl00
73,Dave Browning,24,RDE,16,16,245,6-5,Washington,8/18/1956,2,8,Oakland Raiders / 2nd / 54th pick / 1978,BrowDa23
77,Joe Campbell,25,LB,10,0,254,6-6,Maryland,5/8/1955,3,1,New Orleans Saints / 1st / 7th pick / 1977,CampJo21
87,Dave Casper,28,TE,6,6,240,6-4,Notre Dame,2/2/1952,6,3,Oakland Raiders / 2nd / 45th pick / 1974,CaspDa00
52,Mario Celotto,24,LB,11,0,228,6-3,USC,8/23/1956,2,1,Buffalo Bills / 7th / 171st pick / 1978,CeloMa20
85,Bob Chandler,31,WR,16,16,180,6-0,USC,4/24/1949,9,8,Buffalo Bills / 7th / 160th pick / 1971,ChanBo00
88,Raymond Chester,32,TE,16,10,232,6-3,Morgan St.,6/28/1948,10,4,Oakland Raiders / 1st / 24th pick / 1970,ChesRa00
46,Todd Christensen,24,TE,16,0,230,6-3,BYU,8/3/1956,1,0,Dallas Cowboys / 2nd / 56th pick / 1978,ChriTo00
50,Dave Dalby,30,C,16,14,247,6-3,UCLA,10/19/1950,8,6,Oakland Raiders / 4th / 100th pick / 1972,DalbDa00
79,Bruce Davis,24,G,16,0,287,6-6,UCLA,6/21/1956,1,1,Oakland Raiders / 11th / 294th pick / 1979,DaviBr23
36,Mike Davis,24,SS,16,16,203,6-3,Colorado,4/15/1956,2,8,Oakland Raiders / 2nd / 35th pick / 1977,DaviMi20
8,Ray Guy,31,P,16,0,195,6-3,Southern Miss,12/22/1949,7,4,Oakland Raiders / 1st / 23rd pick / 1973,GuyxRa20
86,Cedrick Hardman,32,DE,16,0,255,6-3,North Texas,10/4/1948,10,2,San Francisco 49ers / 1st / 9th pick / 1970,HardCe00
28,Dwight Harrison,32,CB,3,0,187,6-1,Texas A&M-Kingsville,10/12/1948,9,0,Denver Broncos / 2nd / 35th pick / 1971,HarrDw20
37,Lester Hayes,25,LCB,16,16,200,6-0,Texas A&M,1/22/1955,3,18,Oakland Raiders / 5th / 126th pick / 1977,HayeLe00
83,Ted Hendricks,33,LOLB,16,16,220,6-7,Miami (FL),11/1/1947,11,15,Baltimore Colts / 2nd / 33rd pick / 1969,HendTe00
20,I.M. Hipp,24,RB,1,0,201,5-11,Nebraska,2/15/1956,Rook,0,Atlanta Falcons / 4th / 104th pick / 1980,HippI.00
