No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
86,Brad Anderson,24,WR,14,0,198,6-2,BYUArizona,1/21/1961,1,0,Chicago Bears / 8th / 212th pick / 1984,AndeBr20
60,Tom Andrews,23,T,14,0,265,6-4,Louisville,1/11/1962,1,1,Chicago Bears / 4th / 98th pick / 1984,AndrTo20
79,Kurt Becker,27,G,3,3,271,6-5,Michigan,12/22/1958,3,2,Chicago Bears / 6th / 146th pick / 1982,BeckKu20
62,Mark Bortz,24,LG,16,16,282,6-6,Iowa,2/12/1961,2,9,Chicago Bears / 8th / 219th pick / 1983,BortMa00
8,Maury Buford,25,P,16,0,191,6-1,Texas Tech,2/18/1960,3,2,San Diego Chargers / 8th / 215th pick / 1982,BufoMa20
6,Kevin Butler,23,K,16,0,215,6-0,Georgia,7/24/1962,Rook,5,Chicago Bears / 4th / 105th pick / 1985,butlekev01
54,Brian Cabral,29,LB,1,0,233,6-1,Colorado,6/23/1956,6,0,Atlanta Falcons / 4th / 95th pick / 1978,CabrBr20
74,Jimbo Covert,25,LT,15,15,277,6-4,Pittsburgh,3/22/1960,2,15,Chicago Bears / 1st / 6th pick / 1983,CoveJi00
95,Richard Dent,25,RDE,16,16,265,6-5,Tennessee St.,12/13/1960,2,20,Chicago Bears / 8th / 203rd pick / 1983,DentRi00
22,Dave Duerson,25,SS,15,15,207,6-1,Notre Dame,11/28/1960,2,10,Chicago Bears / 3rd / 64th pick / 1983,DuerDa00
45,Gary Fencik,31,FS,16,16,194,6-1,Yale,6/11/1954,9,12,Miami Dolphins / 10th / 281st pick / 1976,FencGa00
21,Leslie Frazier,26,RCB,16,16,189,6-0,Alcorn St.,4/3/1959,4,8,,FrazLe20
71,Andy Frederick,31,T,16,1,257,6-6,New Mexico,7/25/1954,8,2,Dallas Cowboys / 5th / 137th pick / 1977,FredAn20
4,Steve Fuller,28,QB,16,5,198,6-4,Clemson,1/5/1957,6,3,Kansas City Chiefs / 1st / 23rd pick / 1979,FullSt00
83,Willie Gault,25,WR,16,16,181,6-0,Tennessee,9/5/1960,2,9,Chicago Bears / 1st / 18th pick / 1983,GaulWi00
23,Shaun Gayle,23,DB,16,0,202,5-11,Ohio St.,3/8/1962,1,1,Chicago Bears / 10th / 271st pick / 1984,GaylSh00
29,Dennis Gentry,26,WR,16,0,181,5-8,Baylor,2/10/1959,3,3,Chicago Bears / 4th / 89th pick / 1982,GentDe00
99,Dan Hampton,28,LDE/RDT,16,15,264,6-5,Arkansas,9/19/1957,6,15,Chicago Bears / 1st / 4th pick / 1979,HampDa01
73,Mike Hartenstine,32,LDE,16,8,251,6-3,Penn St.,7/27/1953,10,5,Chicago Bears / 2nd / 31st pick / 1975,HartMi20
63,Jay Hilgenberg,26,C,16,16,259,6-3,Iowa,3/21/1959,4,11,,HilgJa00
75,Stefan Humphries,23,G,11,0,265,6-3,Michigan,1/20/1962,1,1,Chicago Bears / 3rd / 71st pick / 1984,HumpSt20
98,Tyrone Keys,25,DE,16,0,272,6-7,Mississippi St.,10/24/1960,2,1,New York Jets / 5th / 113th pick / 1981,KeysTy20
81,James Maness,22,WR,8,0,174,6-1,TCU,5/1/1963,Rook,0,Chicago Bears / 3rd / 78th pick / 1985,ManeJa20
82,Ken Margerum,27,WR,16,2,175,6-0,Stanford,10/5/1958,4,2,Chicago Bears / 3rd / 67th pick / 1981,MargKe00
58,Wilber Marshall,23,RLB,16,15,231,6-1,Florida,4/18/1962,1,9,Chicago Bears / 1st / 11th pick / 1984,MarsWi00
85,Dennis McKinnon,24,WR,14,13,185,6-1,Florida St.,8/22/1961,2,6,,McKiDe01
9,Jim McMahon,26,QB,13,11,195,6-1,BYU,8/21/1959,3,12,Chicago Bears / 1st / 5th pick / 1982,McMaJi00
76,Steve McMichael,28,LDT,16,16,270,6-2,Texas,10/17/1957,5,18,New England Patriots / 3rd / 73rd pick / 1980,McMiSt00
87,Emery Moorehead,31,TE,15,14,218,6-2,Colorado,3/22/1954,8,5,New York Giants / 6th / 153rd pick / 1977,MoorEm00
51,Jim Morrissey,23,LB,15,0,223,6-3,Michigan St.,12/24/1962,Rook,1,Chicago Bears / 11th / 302nd pick / 1985,MorrJi21
89,Keith Ortego,22,WR,7,0,180,6-0,McNeese St.,8/30/1963,Rook,0,,OrteKe00
34,Walter Payton,32,RB,16,16,200,5-10,Jackson St.,7/25/1953,10,18,Chicago Bears / 1st / 4th pick / 1975,PaytWa00
72,William Perry,23,RDT,16,9,335,6-2,Clemson,12/16/1962,Rook,6,Chicago Bears / 1st / 22nd pick / 1985,PerrWi20
48,Reggie Phillips,25,DB,16,1,170,5-10,SMU,12/12/1960,Rook,2,Chicago Bears / 2nd / 49th pick / 1985,PhilRe20
27,Mike Richardson,24,LCB,14,14,187,6-0,Arizona St.,5/23/1961,2,7,Chicago Bears / 2nd / 33rd pick / 1983,RichMi20
59,Ron Rivera,23,LB,16,0,239,6-3,California,1/7/1962,1,2,Chicago Bears / 2nd / 44th pick / 1984,RiveRo20
20,Thomas Sanders,23,RB,15,0,203,5-11,Texas A&M,1/4/1962,Rook,1,Chicago Bears / 9th / 250th pick / 1985,SandTh00
50,Mike Singletary,27,MLB,16,16,230,6-0,Baylor,10/9/1958,4,17,Chicago Bears / 2nd / 38th pick / 1981,SingMi00
26,Matt Suhey,27,FB,16,16,217,5-11,Penn St.,7/7/1958,5,7,Chicago Bears / 2nd / 46th pick / 1980,SuheMa00
31,Ken Taylor,22,DB,16,1,185,6-1,Oregon St.,9/2/1963,Rook,2,,TaylKe21
57,Tom Thayer,24,RG,16,13,271,6-4,Notre Dame,8/16/1961,Rook,7,Chicago Bears / 4th / 91st pick / 1983,ThayTo20
33,Calvin Thomas,25,RB,14,0,239,5-11,Illinois,1/7/1960,3,1,,ThomCa00
52,Cliff Thrift,29,LB,16,2,232,6-1,East Central (OK),5/3/1956,6,2,San Diego Chargers / 3rd / 73rd pick / 1979,ThriCl20
18,Mike Tomczak,23,QB,6,0,202,6-1,Ohio St.,10/23/1962,Rook,0,,TomcMi00
78,Keith Van Horne,28,RT,16,16,281,6-6,USC,11/6/1957,4,9,Chicago Bears / 1st / 11th pick / 1981,VanHKe20
70,Henry Waechter,26,DE,13,0,270,6-5,Nebraska,2/13/1959,3,1,Chicago Bears / 7th / 173rd pick / 1982,WaecHe20
55,Otis Wilson,28,LLB,16,16,227,6-2,SyracuseLouisville,9/15/1957,5,16,Chicago Bears / 1st / 19th pick / 1980,WilsOt00
80,Tim Wrightman,25,TE,16,3,237,6-3,UCLA,3/27/1960,Rook,5,Chicago Bears / 3rd / 62nd pick / 1982,WrigTi00
,Team Total,25.7,,16,,226.9,6-1.8,,,3.0,,,-9999
